id,title,genre1_id,genre2_id,genre3_id,genre4_id,genre5_id,studio_id,director_id,actor1_id,actor2_id,actor3_id,actor4_id,actor5_id,actor6_id,rating,budget_usd,budget_category,runtime_minutes,release_date,screens_opening_day,kinocheck_trailer_views,opening_weekend_box_office,actual_box_office_domestic_usd,actual_box_office_international_usd
1,Oppenheimer,Drama,Biography,History,,,Universal Pictures,Christopher Nolan,Cillian Murphy,Emily Blunt        ,"Robert Downey, Jr.",Matt Damon,Rami Malek        ,Florence Pugh,R,100.0,High,180,2023-07-21,3610.0,,82.455,330.078,646.186
2,Barbie,3,4,,,,Warner Bros. Pictures,Greta Gerwig,Margot Robbie,Ryan Gosling,America Ferrera,Ariana Greenblatt,Issa Rae,Kate McKinnon,PG-13,145.0,High,114,2023-07-19,,,143.11820367900003,650.5372894500001,795.1011315500001
3,Guardians of the Galaxy Vol. 3,5,4,6,3.0,,Marvel Studios (Walt Disney Studios),James Gunn,Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan,Pom Klementieff,Vin Diesel,PG-13,250.0,High,150,2023-05-03,,1522016.0,83.71440000000001,380.52000000000004,465.08000000000004
4,Spider-Man: Across the Spider-Verse,7,6,4,5.0,,Sony Pictures Animation (Columbia Pictures),"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,Jake Johnson,Oscar Isaac,PG,100.0,High,140,2023-05-31,,445607.0,68.39889309,310.9040595,379.99385050000006
5,The Super Mario Bros. Movie,8,3,4,7.0,,Illumination (Universal Pictures),"Aaron Horvath, Michael Jelenic",Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,PG,100.0,High,93,2023-04-05,,2933946.0,134.838,612.9,749.1
6,Mission: Impossible – Dead Reckoning Part One,6,4,9,,,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,PG-13,291.0,High,164,2023-07-08,,727984.0,56.541418065,257.00644575,314.11898925
7,John Wick: Chapter 4,6,9,10,,,Lionsgate,Chad Stahelski,Keanu Reeves,Donnie Yen,Bill Skarsgård,Ian McShane,Laurence Fishburne,Lance Reddick,R,100.0,High,170,2023-03-22,,2025759.0,43.575567255,198.07076025,242.08648475
8,Indiana Jones and the Dial of Destiny,4,6,,,,Lucasfilm (Walt Disney Studios),James Mangold,Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen,Boyd Holbrook,Olivier Richters,Ethann Isidore,PG-13,294.0,High,155,2023-06-25,,1263383.0,38.012342643000004,172.78337565,211.17968135
9,Wonka,3,8,11,,,Warner Bros. Pictures,Paul King,Timothée Chalamet,Calah Lane,Keegan-Michael Key,Hugh Grant,Paterson Joseph,Olivia Colman,PG,125.0,High,117,2023-12-06,,902055.0,62.815728888,285.5260404,348.9762716
10,Killers of the Flower Moon,10,2,1,,,Apple Original Films (Distributed by Paramount Pictures),Martin Scorsese,Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons,Tantoo Cardinal,John Lithgow,R,200.0,High,206,2023-10-18,,523626.0,15.713537301000002,71.42516955,87.29742945000001
