id,title,genre1_id,genre2_id,genre3_id,genre4_id,genre5_id,studio_id,director_id,actor1_id,actor2_id,actor3_id,actor4_id,actor5_id,actor6_id,rating,budget_usd,budget_category,runtime_minutes,release_date,screens_opening_day,kinocheck_trailer_views,opening_weekend_box_office,actual_box_office_domestic_usd,actual_box_office_international_usd
1,Oppenheimer,Drama,Biography,History,,,Universal Pictures,Christopher Nolan,Cillian Murphy,Emily Blunt        ,"Robert Downey, Jr.",Matt Damon,Rami Malek        ,Florence Pugh,R,100,High,180,2023-07-21,3610,,82.455,330.078,646.186
2,Barbie,3,4,,,,Warner Bros. Pictures,Greta Gerwig,17,18,19,20,21,22,TBD,145,High,65,2023-07-19,,,,,
3,Guardians of the Galaxy Vol. 3,5,4,6,3,,Marvel Studios (Walt Disney Studios),James Gunn,39,40,41,42,43,44,TBD,250,High,123,2023-05-03,,1522016,,,
4,Spider-Man: Across the Spider-Verse,7,6,4,5,,Sony Pictures Animation (Columbia Pictures),"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",56,57,58,59,60,61,TBD,100,High,122,2023-05-31,,445607,,,
5,The Super Mario Bros. Movie,8,3,4,7,,Illumination (Universal Pictures),"Aaron Horvath, Michael Jelenic",39,78,79,80,81,82,TBD,100,High,63,2023-04-05,,2933946,,,
6,Mission: Impossible – Dead Reckoning Part One,6,4,9,,,Paramount Pictures,Christopher McQuarrie,94,95,96,97,98,99,TBD,291,High,124,2023-07-08,,727984,,,
7,John Wick: Chapter 4,6,9,10,,,Lionsgate,Chad Stahelski,109,110,111,112,113,114,TBD,100,High,124,2023-03-22,,2025759,,,
8,Indiana Jones and the Dial of Destiny,4,6,,,,Lucasfilm (Walt Disney Studios),James Mangold,125,126,127,128,129,130,TBD,294,High,123,2023-06-25,,1263383,,,
9,Wonka,3,8,11,,,Warner Bros. Pictures,Paul King,142,143,81,144,145,146,TBD,125,High,65,2023-12-06,,902055,,,
10,Killers of the Flower Moon,10,2,1,,,Apple Original Films (Distributed by Paramount Pictures),Martin Scorsese,160,161,162,163,164,165,TBD,200,High,182,2023-10-18,,523626,,,
11,Dungeons & Dragons: Honor Among Thieves,4,11,3,,,Paramount Pictures,"Jonathan Goldstein, John Francis Daley",181,182,183,184,144,185,TBD,151,High,121,2023-03-23,,695999,,,
12,The Little Mermaid,8,4,11,12,1,Walt Disney Pictures,Rob Marshall,198,199,200,201,202,203,TBD,,High,121,2018-08-02,,,,,
13,Ant-Man and the Wasp: Quantumania,6,4,5,,,Marvel Studios (Walt Disney Studios),Peyton Reed,211,212,213,214,215,216,TBD,388,High,120,2023-02-15,,466829,,,
14,The Hunger Games: The Ballad of Songbirds & Snakes,1,5,4,6,,Lionsgate,Francis Lawrence,224,225,226,62,227,228,TBD,100,High,123,2023-11-15,,1228979,,,
15,Creed III,1,6,,,,Metro-Goldwyn-Mayer (Amazon Studios),Michael B. Jordan,240,241,215,242,243,244,TBD,75,Mid-Range,65,2023-03-01,,990518,,,
16,Scream VI,13,10,9,,,Paramount Pictures (Spyglass Media Group),"Matt Bettinelli-Olpin, Tyler Gillett",261,262,263,264,265,266,TBD,35,Mid-Range,120,2023-03-08,,630917,,,
17,Cocaine Bear,9,3,10,,,Universal Pictures,Elizabeth Banks,284,285,286,287,288,289,TBD,32,Mid-Range,63,2023-02-22,,757366,,,
18,A Haunting in Venice,14,9,10,,,20th Century Studios,Kenneth Branagh,9,300,301,302,303,304,TBD,60,Mid-Range,64,2023-09-13,,250732,,,
19,The Creator,5,6,4,,,20th Century Studios,Gareth Edwards,315,316,317,318,319,320,TBD,80,Mid-Range,121,2023-09-27,,612903,,,
20,Five Nights at Freddy's,13,9,,,,Universal Pictures (Blumhouse Productions),Emma Tammi,332,333,334,335,336,337,TBD,20,Mid-Range,64,2023-10-25,,1510848,,,
21,The Nun II,13,,,,,Warner Bros. Pictures (New Line Cinema),Michael Chaves,350,351,352,353,354,355,TBD,38,Mid-Range,65,2023-09-06,,979655,,,
22,Anyone But You,12,3,,,,Sony Pictures Releasing (Columbia Pictures),Will Gluck,370,371,372,373,374,23,TBD,25,Mid-Range,64,2023-12-21,,276379,,,
23,Sound of Freedom,6,1,,,,Angel Studios,Alejandro Monteverde,389,390,391,392,393,394,TBD,14,Mid-Range,121,2023-07-03,,422248,,,
24,Air,5,9,,,,Amazon Studios,Ben Affleck,410,411,412,413,414,415,TBD,,Mid-Range,65,2015-08-14,,,,,
25,The Boys in the Boat,1,2,,,,Metro-Goldwyn-Mayer (Amazon Studios),George Clooney,427,428,429,430,431,432,TBD,40,Mid-Range,120,2023-12-25,,,,,
26,No Hard Feelings,3,12,,,,Sony Pictures Releasing (Columbia Pictures),Gene Stupnitsky,442,443,444,445,446,447,TBD,45,Mid-Range,64,2023-06-15,,700078,,,
27,Guy Ritchie's The Covenant,15,6,9,,,Metro-Goldwyn-Mayer (Amazon Studios),Guy Ritchie,459,460,461,462,463,464,TBD,55,Mid-Range,120,2023-04-19,,,,,
28,65,6,4,5,,,Sony Pictures Releasing (Columbia Pictures),"Scott Beck, Bryan Woods",475,20,186,476,477,,TBD,45,Mid-Range,63,2023-03-02,,478449,,,
29,Past Lives,1,12,,,,A24,Celine Song,486,487,488,489,490,491,TBD,12,Low/Independent,64,2023-06-02,,,,,
30,Anatomy of a Fall (Anatomie d'une chute),9,14,10,,,Le Pacte (Neon distributing in US),Justine Triet,505,506,507,508,509,510,TBD,6,Low/Independent,123,2023-08-23,,414515,,,
31,Poor Things,5,12,3,,,Searchlight Pictures,Yorgos Lanthimos,518,519,520,521,522,523,TBD,35,Low/Independent,122,2023-12-07,,451620,,,
32,The Holdovers,3,1,,,,Focus Features,Alexander Payne,533,534,535,536,537,538,TBD,13,Low/Independent,121,2023-10-27,,122194,,,
33,Asteroid City,3,1,,,,Focus Features,Wes Anderson,62,550,551,552,553,554,TBD,25,Low/Independent,64,2023-06-08,,189522,,,
34,Priscilla,1,12,,,,A24,Sofia Coppola,566,567,568,569,570,571,TBD,20,Low/Independent,65,2023-10-27,,,,,
35,American Fiction,3,1,,,,Orion Pictures (Amazon MGM Studios),Cord Jefferson,552,582,583,584,585,586,TBD,16,Low/Independent,65,2023-11-10,,,,,
36,Bottoms,3,,,,,Orion Pictures (Metro-Goldwyn-Mayer),Emma Seligman,599,600,601,602,603,604,TBD,11,Low/Independent,63,2023-08-25,,,,,
37,Theater Camp,3,,,,,Searchlight Pictures,"Molly Gordon, Nick Lieberman",610,611,612,613,614,600,TBD,5,Low/Independent,63,2023-07-13,,,,,
38,How to Blow Up a Pipeline,10,1,9,,,Neon,Daniel Goldhaber,633,634,635,636,637,638,TBD,,Low/Independent,64,2023-04-07,,8590,,,
39,Talk to Me,13,,,,,A24,"Danny Philippou, Michael Philippou",653,654,655,656,657,658,TBD,4,Low/Independent,63,2023-07-26,,429959,,,
40,BlackBerry,3,1,,,,IFC Films,Matt Johnson,677,678,679,680,681,682,TBD,5,Low/Independent,120,2023-02-13,,57342,,,
41,The Zone of Interest,1,2,15,,,A24,Jonathan Glazer,699,505,700,701,702,703,TBD,15,Low/Independent,64,2023-12-15,,618452,,,
42,Skinamarink,13,,,,,IFC Midnight (Shudder),Kyle Edward Ball,716,717,718,719,720,,TBD,0,Low/Independent,64,2023-01-13,,,,,
