id,title,genre1_id,genre2_id,genre3_id,genre4_id,genre5_id,studio_id,director_id,actor1_id,actor2_id,actor3_id,actor4_id,actor5_id,actor6_id,rating,budget_usd,budget_category,runtime_minutes,release_date,screens_opening_day,kinocheck_trailer_views,opening_weekend_box_office,actual_box_office_domestic_usd,actual_box_office_international_usd
1,Oppenheimer,Drama,Biography,History,,,Universal Pictures,Christopher Nolan,Cillian Murphy,Emily Blunt        ,"Robert Downey, Jr.",Matt Damon,Rami Malek        ,Florence Pugh,R,100.0,High,180,2023-07-21,3610.0,,82.455,330.078,646.186
2,Barbie,3,4,,,,Warner Bros. Pictures,Greta Gerwig,Margot Robbie,Ryan Gosling,America Ferrera,Ariana Greenblatt,Issa Rae,Kate McKinnon,PG-13,145.0,High,114,2023-07-19,,,,,
3,Guardians of the Galaxy Vol. 3,5,4,6,3.0,,Marvel Studios (Walt Disney Studios),James Gunn,Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan,Pom Klementieff,Vin Diesel,PG-13,250.0,High,150,2023-05-03,,1522016.0,,,
4,Spider-Man: Across the Spider-Verse,7,6,4,5.0,,Sony Pictures Animation (Columbia Pictures),"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,Jake Johnson,Oscar Isaac,PG,100.0,High,140,2023-05-31,,445607.0,,,
5,The Super Mario Bros. Movie,8,3,4,7.0,,Illumination (Universal Pictures),"Aaron Horvath, Michael Jelenic",Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black,Keegan-Michael Key,Seth Rogen,PG,100.0,High,93,2023-04-05,,2933946.0,,,
6,Mission: Impossible – Dead Reckoning Part One,6,4,9,,,Paramount Pictures,Christopher McQuarrie,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Rebecca Ferguson,Vanessa Kirby,PG-13,291.0,High,164,2023-07-08,,727984.0,,,
7,John Wick: Chapter 4,6,9,10,,,Lionsgate,Chad Stahelski,Keanu Reeves,Donnie Yen,Bill Skarsgård,Ian McShane,Laurence Fishburne,Lance Reddick,R,100.0,High,170,2023-03-22,,2025759.0,,,
8,Indiana Jones and the Dial of Destiny,4,6,,,,Lucasfilm (Walt Disney Studios),James Mangold,Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen,Boyd Holbrook,Olivier Richters,Ethann Isidore,PG-13,294.0,High,155,2023-06-25,,1263383.0,,,
9,Wonka,3,8,11,,,Warner Bros. Pictures,Paul King,Timothée Chalamet,Calah Lane,Keegan-Michael Key,Hugh Grant,Paterson Joseph,Olivia Colman,PG,125.0,High,117,2023-12-06,,902055.0,,,
10,Killers of the Flower Moon,10,2,1,,,Apple Original Films (Distributed by Paramount Pictures),Martin Scorsese,Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons,Tantoo Cardinal,John Lithgow,R,200.0,High,206,2023-10-18,,523626.0,,,
11,Dungeons & Dragons: Honor Among Thieves,4,11,3,,,Paramount Pictures,"Jonathan Goldstein, John Francis Daley",Chris Pine,Michelle Rodriguez,Justice Smith,Sophia Lillis,Hugh Grant,Regé-Jean Page,PG-13,151.0,High,134,2023-03-23,,695999.0,,,
12,The Little Mermaid,8,4,11,12.0,1.0,Walt Disney Pictures,Rob Marshall,Halle Bailey,Jonah Hauer-King,Melissa McCarthy,Javier Bardem,Noma Dumezweni,Art Malik,PG,297.0,High,135,2023-05-18,,,,,
13,Ant-Man and the Wasp: Quantumania,6,4,5,,,Marvel Studios (Walt Disney Studios),Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Douglas,Michelle Pfeiffer,Jonathan Majors,Kathryn Newton,PG-13,200.0,High,120,2023-02-15,,466829.0,,,
14,The Hunger Games: The Ballad of Songbirds & Snakes,1,5,4,6.0,,Lionsgate,Francis Lawrence,Tom Blyth,Rachel Zegler,Peter Dinklage,Jason Schwartzman,Hunter Schafer,Josh Rivera,PG-13,100.0,High,157,2023-11-15,,1228979.0,,,
15,Creed III,1,6,,,,Metro-Goldwyn-Mayer (Amazon Studios),Michael B. Jordan,Michael B. Jordan,Tessa Thompson,Jonathan Majors,Phylicia Rashād,Mila Davis-Kent,Wood Harris,PG-13,75.0,Mid-Range,116,2023-03-01,,990518.0,,,
16,Scream VI,13,10,9,,,Paramount Pictures (Spyglass Media Group),"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Jenna Ortega,Jasmin Savoy Brown,Mason Gooding,Jack Champion,Roger L. Jackson,R,35.0,Mid-Range,120,2023-03-08,,630917.0,,,
17,Cocaine Bear,9,3,10,,,Universal Pictures,Elizabeth Banks,Keri Russell,Alden Ehrenreich,O'Shea Jackson Jr.,Ray Liotta,"Isiah Whitlock, Jr.",Brooklynn Prince,R,32.0,Mid-Range,95,2023-02-22,,757366.0,,,
18,A Haunting in Venice,14,9,10,,,20th Century Studios,Kenneth Branagh,Kenneth Branagh,Kyle Allen,Camille Cottin,Jamie Dornan,Tina Fey,Jude Hill,PG-13,60.0,Mid-Range,104,2023-09-13,,250732.0,,,
19,The Creator,5,6,4,,,20th Century Studios,Gareth Edwards,John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,PG-13,80.0,Mid-Range,134,2023-09-27,,612903.0,,,
20,Five Nights at Freddy's,13,9,,,,Universal Pictures (Blumhouse Productions),Emma Tammi,Josh Hutcherson,Piper Rubio,Elizabeth Lail,Matthew Lillard,Mary Stuart Masterson,Kat Conner Sterling,PG-13,20.0,Mid-Range,110,2023-10-25,,1510848.0,,,
21,The Nun II,13,,,,,Warner Bros. Pictures (New Line Cinema),Michael Chaves,Taissa Farmiga,Jonas Bloquet,Storm Reid,Anna Popplewell,Bonnie Aarons,Katelyn Rose Downey,R,38.0,Mid-Range,110,2023-09-06,,979655.0,,,
22,Anyone But You,12,3,,,,Sony Pictures Releasing (Columbia Pictures),Will Gluck,Sydney Sweeney,Glen Powell,Mia Artemis,Nat Buchanan,GaTa,Alexandra Shipp,R,25.0,Mid-Range,103,2023-12-21,,276379.0,,,
23,Sound of Freedom,6,1,,,,Angel Studios,Alejandro Monteverde,Jim Caviezel,Mira Sorvino,Bill Camp,Gerardo Taracena,Kurt Fuller,José Zúñiga,PG-13,14.0,Mid-Range,131,2023-07-03,,422248.0,,,
24,Air,5,9,,,,Amazon Studios,Ben Affleck,Matt Damon,Ben Affleck,Jason Bateman,Chris Messina,Viola Davis,Julius Tennon,R,80.0,Mid-Range,111,2023-04-05,,,,,
25,The Boys in the Boat,1,2,,,,Metro-Goldwyn-Mayer (Amazon Studios),George Clooney,Joel Edgerton,Callum Turner,Peter Guinness,Sam Strike,Thomas Elms,Jack Mulhern,PG-13,40.0,Mid-Range,120,2023-12-25,,,,,
26,No Hard Feelings,3,12,,,,Sony Pictures Releasing (Columbia Pictures),Gene Stupnitsky,Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti,Natalie Morales,Matthew Broderick,Scott MacArthur,R,45.0,Mid-Range,104,2023-06-15,,700078.0,,,
27,Guy Ritchie's The Covenant,15,6,9,,,Metro-Goldwyn-Mayer (Amazon Studios),Guy Ritchie,Jake Gyllenhaal,Dar Salim,Sean Sagar,Jason Wong,Rhys Yates,Christian Ochoa,R,55.0,Mid-Range,120,2023-04-19,,,,,
28,65,6,4,5,,,Sony Pictures Releasing (Columbia Pictures),"Scott Beck, Bryan Woods",Adam Driver,Ariana Greenblatt,Chloe Coleman,Nika King,Brian Dare,,PG-13,45.0,Mid-Range,92,2023-03-02,,478449.0,,,
29,Past Lives,1,12,,,,A24,Celine Song,Greta Lee,Teo Yoo,John Magaro,Moon Seung-ah,Yim Seung-min,Yoon Ji-hye,PG-13,12.0,Low/Independent,106,2023-06-02,,,,,
30,Anatomy of a Fall (Anatomie d'une chute),9,14,10,,,Le Pacte (Neon distributing in US),Justine Triet,Sandra Hüller,Swann Arlaud,Milo Machado-Graner,Antoine Reinartz,Samuel Theis,Jehnny Beth,R,6.0,Low/Independent,151,2023-08-23,,414515.0,,,
31,Poor Things,5,12,3,,,Searchlight Pictures,Yorgos Lanthimos,Emma Stone,Mark Ruffalo,Willem Dafoe,Ramy Youssef,Christopher Abbott,Suzy Bemba,R,35.0,Low/Independent,141,2023-12-07,,451620.0,,,
32,The Holdovers,3,1,,,,Focus Features,Alexander Payne,Paul Giamatti,Dominic Sessa,Da'Vine Joy Randolph,Carrie Preston,Brady Hepner,Ian Dolley,R,13.0,Low/Independent,133,2023-10-27,,122194.0,,,
33,Asteroid City,3,1,,,,Focus Features,Wes Anderson,Jason Schwartzman,Scarlett Johansson,Tom Hanks,Jeffrey Wright,Tilda Swinton,Bryan Cranston,PG-13,25.0,Low/Independent,105,2023-06-08,,189522.0,,,
34,Priscilla,1,12,,,,A24,Sofia Coppola,Cailee Spaeny,Jacob Elordi,Ari Cohen,Dagmara Dominczyk,Tim Post,Lynne Griffin,R,20.0,Low/Independent,113,2023-10-27,,,,,
35,American Fiction,3,1,,,,Orion Pictures (Amazon MGM Studios),Cord Jefferson,Jeffrey Wright,John Ortiz,Erika Alexander,Leslie Uggams,Sterling K. Brown,Skyler Wright,R,16.0,Low/Independent,117,2023-11-10,,,,,
36,Bottoms,3,,,,,Orion Pictures (Metro-Goldwyn-Mayer),Emma Seligman,Rachel Sennott,Ayo Edebiri,Ruby Cruz,Havana Rose Liu,Kaia Gerber,Nicholas Galitzine,R,11.0,Low/Independent,91,2023-08-25,,,,,
37,Theater Camp,3,,,,,Searchlight Pictures,"Molly Gordon, Nick Lieberman",Ben Platt,Molly Gordon,Noah Galvin,Jimmy Tatro,Caroline Aaron,Ayo Edebiri,PG-13,5.0,Low/Independent,93,2023-07-13,,,,,
38,How to Blow Up a Pipeline,10,1,9,,,Neon,Daniel Goldhaber,Ariela Barer,Kristine Froseth,Lukas Gage,Forrest Goodluck,Sasha Lane,Jayme Lawson,R,0.25,Low/Independent,104,2023-04-07,,8590.0,,,
39,Talk to Me,13,,,,,A24,"Danny Philippou, Michael Philippou",Sophie Wilde,Alexandra Jensen,Joe Bird,Otis Dhanji,Miranda Otto,Zoe Terakes,R,4.0,Low/Independent,95,2023-07-26,,429959.0,,,
40,BlackBerry,3,1,,,,IFC Films,Matt Johnson,Jay Baruchel,Glenn Howerton,Matt Johnson,Rich Sommer,Michael Ironside,Cary Elwes,R,5.0,Low/Independent,120,2023-02-13,,57342.0,,,
41,The Zone of Interest,1,2,15,,,A24,Jonathan Glazer,Christian Friedel,Sandra Hüller,Johann Karthaus,Luis Noah Witte,Nele Ahrensmeier,Lilli Falk,PG-13,15.0,Low/Independent,105,2023-12-15,,618452.0,,,
42,Skinamarink,13,,,,,IFC Midnight (Shudder),Kyle Edward Ball,Lucas Paul,Dali Rose Tetreault,Ross Paul,Jaime Hill,Kyle Edward Ball,,NR,0.015,Low/Independent,100,2023-01-13,,,,,
