id,title,genre1_id,genre2_id,genre3_id,genre4_id,genre5_id,studio_id,director_id,actor1_id,actor2_id,actor3_id,actor4_id,actor5_id,actor6_id,rating,budget_usd,budget_category,runtime_minutes,release_date,screens_opening_day,kinocheck_trailer_views,opening_weekend_box_office,actual_box_office_domestic_usd,actual_box_office_international_usd
1,Oppenheimer,Drama,Biography,History,,,Universal Pictures,Christopher Nolan,Cillian Murphy,Emily Blunt        ,"Robert Downey, Jr.",Matt Damon,Rami Malek        ,Florence Pugh,R,100,High,180,2023-07-21,3610,,82.455,330.078,646.186
2,Barbie,,,,,,Warner Bros. Pictures,Greta Gerwig,,,,,,,,,High,65,,,,,,
3,Guardians of the Galaxy Vol. 3,,,,,,Marvel Studios (Walt Disney Studios),James Gunn,,,,,,,,,High,123,,,,,,
4,Spider-Man: Across the Spider-Verse,,,,,,Sony Pictures Animation (Columbia Pictures),"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",,,,,,,,,High,122,,,,,,
5,The Super Mario Bros. Movie,,,,,,Illumination (Universal Pictures),"Aaron Horvath, Michael Jelenic",,,,,,,,,High,63,,,,,,
6,Mission: Impossible – Dead Reckoning Part One,,,,,,Paramount Pictures,Christopher McQuarrie,,,,,,,,,High,124,,,,,,
7,John Wick: Chapter 4,,,,,,Lionsgate,Chad Stahelski,,,,,,,,,High,124,,,,,,
8,Indiana Jones and the Dial of Destiny,,,,,,Lucasfilm (Walt Disney Studios),James Mangold,,,,,,,,,High,123,,,,,,
9,Wonka,,,,,,Warner Bros. Pictures,Paul King,,,,,,,,,High,65,,,,,,
10,Killers of the Flower Moon,,,,,,Apple Original Films (Distributed by Paramount Pictures),Martin Scorsese,,,,,,,,,High,182,,,,,,
11,Dungeons & Dragons: Honor Among Thieves,,,,,,Paramount Pictures,"Jonathan Goldstein, John Francis Daley",,,,,,,,,High,121,,,,,,
12,The Little Mermaid,,,,,,Walt Disney Pictures,Rob Marshall,,,,,,,,,High,121,,,,,,
13,Ant-Man and the Wasp: Quantumania,,,,,,Marvel Studios (Walt Disney Studios),Peyton Reed,,,,,,,,,High,120,,,,,,
14,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,Lionsgate,Francis Lawrence,,,,,,,,,High,123,,,,,,
15,Creed III,,,,,,Metro-Goldwyn-Mayer (Amazon Studios),Michael B. Jordan,,,,,,,,,Mid-Range,65,,,,,,
16,Scream VI,,,,,,Paramount Pictures (Spyglass Media Group),"Matt Bettinelli-Olpin, Tyler Gillett",,,,,,,,,Mid-Range,120,,,,,,
17,Cocaine Bear,,,,,,Universal Pictures,Elizabeth Banks,,,,,,,,,Mid-Range,63,,,,,,
18,A Haunting in Venice,,,,,,20th Century Studios,Kenneth Branagh,,,,,,,,,Mid-Range,64,,,,,,
19,The Creator,,,,,,20th Century Studios,Gareth Edwards,,,,,,,,,Mid-Range,121,,,,,,
20,Five Nights at Freddy's,,,,,,Universal Pictures (Blumhouse Productions),Emma Tammi,,,,,,,,,Mid-Range,64,,,,,,
21,The Nun II,,,,,,Warner Bros. Pictures (New Line Cinema),Michael Chaves,,,,,,,,,Mid-Range,65,,,,,,
22,Anyone But You,,,,,,Sony Pictures Releasing (Columbia Pictures),Will Gluck,,,,,,,,,Mid-Range,64,,,,,,
23,Sound of Freedom,,,,,,Angel Studios,Alejandro Monteverde,,,,,,,,,Mid-Range,121,,,,,,
24,Air,,,,,,Amazon Studios,Ben Affleck,,,,,,,,,Mid-Range,65,,,,,,
25,The Boys in the Boat,,,,,,Metro-Goldwyn-Mayer (Amazon Studios),George Clooney,,,,,,,,,Mid-Range,120,,,,,,
26,No Hard Feelings,,,,,,Sony Pictures Releasing (Columbia Pictures),Gene Stupnitsky,,,,,,,,,Mid-Range,64,,,,,,
27,Guy Ritchie's The Covenant,,,,,,Metro-Goldwyn-Mayer (Amazon Studios),Guy Ritchie,,,,,,,,,Mid-Range,120,,,,,,
28,65,,,,,,Sony Pictures Releasing (Columbia Pictures),"Scott Beck, Bryan Woods",,,,,,,,,Mid-Range,63,,,,,,
29,Past Lives,,,,,,A24,Celine Song,,,,,,,,,Low/Independent,64,,,,,,
30,Anatomy of a Fall (Anatomie d'une chute),,,,,,Le Pacte (Neon distributing in US),Justine Triet,,,,,,,,,Low/Independent,123,,,,,,
31,Poor Things,,,,,,Searchlight Pictures,Yorgos Lanthimos,,,,,,,,,Low/Independent,122,,,,,,
32,The Holdovers,,,,,,Focus Features,Alexander Payne,,,,,,,,,Low/Independent,121,,,,,,
33,Asteroid City,,,,,,Focus Features,Wes Anderson,,,,,,,,,Low/Independent,64,,,,,,
34,Priscilla,,,,,,A24,Sofia Coppola,,,,,,,,,Low/Independent,65,,,,,,
35,American Fiction,,,,,,Orion Pictures (Amazon MGM Studios),Cord Jefferson,,,,,,,,,Low/Independent,65,,,,,,
36,Bottoms,,,,,,Orion Pictures (Metro-Goldwyn-Mayer),Emma Seligman,,,,,,,,,Low/Independent,63,,,,,,
37,Theater Camp,,,,,,Searchlight Pictures,"Molly Gordon, Nick Lieberman",,,,,,,,,Low/Independent,63,,,,,,
38,How to Blow Up a Pipeline,,,,,,Neon,Daniel Goldhaber,,,,,,,,,Low/Independent,64,,,,,,
39,Talk to Me,,,,,,A24,"Danny Philippou, Michael Philippou",,,,,,,,,Low/Independent,63,,,,,,
40,BlackBerry,,,,,,IFC Films,Matt Johnson,,,,,,,,,Low/Independent,120,,,,,,
41,The Zone of Interest,,,,,,A24,Jonathan Glazer,,,,,,,,,Low/Independent,64,,,,,,
42,Skinamarink,,,,,,IFC Midnight (Shudder),Kyle Edward Ball,,,,,,,,,Low/Independent,64,,,,,,
